Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric",112.975000,-63.800000,-90.000000,top
"C2","100nF","C_0402_1005Metric",101.854000,-65.532000,90.000000,top
"C3","1uF","C_0805_2012Metric",109.154000,-67.818000,0.000000,top
"C4","100nF","C_0402_1005Metric",94.742000,-63.980000,90.000000,top
"C5","4.7uF","C_0805_2012Metric",103.660000,-65.974000,90.000000,top
"C6","100nF","C_0402_1005Metric",106.172000,-64.036000,-90.000000,top
"C7","100nF","C_0402_1005Metric",106.172000,-66.322000,-90.000000,top
"D1","LED","LED_0603_1608Metric",115.500000,-68.537500,90.000000,top
"D2","SP0503BAHT","SOT-143",91.710000,-64.246000,-90.000000,top
"D3","LED","LED_0603_1608Metric",115.500000,-65.037500,90.000000,top
"J1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_G-Switch_GT-USB-7010ASV_mod",82.650000,-65.000000,-90.000000,top
"J2","Conn_01x14_Pin","PinHeader_1x14_P2.54mm_Vertical",82.804000,-72.644000,90.000000,top
"J3","Conn_01x01_Pin","PinHeader_1x01_P1.00mm_Vertical",115.570000,-61.214000,0.000000,top
"J4","Conn_01x14_Pin","PinHeader_1x14_P2.54mm_Vertical",115.824000,-57.500000,-90.000000,top
"J5","Conn_01x02_Pin","PinHeader_1x02_P1.00mm_Vertical",93.900000,-67.300000,0.000000,top
"R1","1K5","R_0402_1005Metric",113.000000,-69.342000,180.000000,top
"R2","5K1","R_0402_1005Metric",88.500000,-67.308000,-90.000000,top
"R3","5K1","R_0402_1005Metric",88.500000,-63.248000,90.000000,top
"R4","1K5","R_0402_1005Metric",90.990000,-66.900000,0.000000,top
"R5","1K5","R_0402_1005Metric",112.990000,-66.548000,180.000000,top
"R6","10K","R_0402_1005Metric",109.472000,-62.230000,180.000000,top
"R7","10K","R_0402_1005Metric",91.600000,-69.100000,-90.000000,top
"U1","STM32C071G8UxN","QFN-28_4x4mm_P0.5mm",98.298000,-65.000000,180.000000,top
"U3","TPS73633DBV","SOT-23-5",109.362500,-64.768000,180.000000,top
