Designator,Comment,Footprint,JLCPCB Part
"C1,C3",1uF,Capacitor_SMD:C_0805_2012Metric,C1712
"C2,C4,C6,C7",100nF,Capacitor_SMD:C_0402_1005Metric,C1525
C5,4.7uF,Capacitor_SMD:C_0805_2012Metric,C1746
D1,LED,LED_SMD:LED_0603_1608Metric,C7496819
D3,LED Red,LED_SMD:LED_0603_1608Metric,C2286
D2,SP0503BAHT,Package_TO_SOT_SMD:SOT-143,C7074
J1,USB_C_Receptacle_USB2.0_14P,ht-lab:USB_C_Receptacle_G-Switch_GT-USB-7010ASV_mod,C2988369
"R1,R4,R5",1K5,Resistor_SMD:R_0402_1005Metric,C114451
"R2,R3",5K1,Resistor_SMD:R_0402_1005Metric,C105872
"R6,R7",10K,Resistor_SMD:R_0402_1005Metric,C25531
U1,STM32C071G8U6N,Package_DFN_QFN:QFN-28_4x4mm_P0.5mm,C707495
U3,TPS73633DBV,Package_TO_SOT_SMD:SOT-23-5,C28038
